finished,start_date,end_date,recorded_date,gender,age,enrolment_school,student_status,citizenship,ethnic_group,living_situation,current_circumstance,covid_19_stress_1,covid_19_stress_2,covid_19_stress_3,covid_19_stress_4,covid_19_stress_5,covid_19_stress_6,covid_19_stress_7,covid_19_stress_8,covid_19_stress_9,covid_19_stress_10,covid_19_stress_11,covid_19_stress_12,covid_19_stress_13,coping_strategies_1,coping_strategies_2,coping_strategies_3,coping_strategies_4,coping_strategies_5,coping_strategies_6,coping_strategies_7,coping_strategies_8,coping_strategies_9,coping_strategies_10,coping_strategies_11,coping_strategies_12,coping_strategies_13,coping_strategies_14,coping_strategies_15,generalv_wellbeing_1,generalv_wellbeing_2,generalv_wellbeing_3,generalv_wellbeing_4,generalv_wellbeing_5,generalv_wellbeing_6,music_info_4,music_info_5,prop_miss_all
TRUE,2020-04-26T23:30:02Z,2020-04-26T23:50:51Z,2020-04-26T23:50:51Z,female,18,5,1,Australia,Caucasian,1,4,4,4,4,4,1,4,5,2,3,4,4,4,2,4,4,3,2,3,4,3,2,3,1,3,1,4,2,2,2,4,4,4,2,2,Gorillaz,Feel good inc.,0
TRUE,2020-04-27T01:05:51Z,2020-04-27T01:14:41Z,2020-04-27T01:14:42Z,female,18,2,1,Australia,Chinese,1,4,5,5,5,5,1,5,3,3,5,5,5,4,2,4,6,4,6,3,5,4,4,4,1,1,1,4,1,5,1,1,1,5,2,2,Debussy,Claire De Lune,0
TRUE,2020-04-27T07:23:57Z,2020-04-27T07:37:27Z,2020-04-27T07:37:28Z,female,17,5,1,Australia,South Sudanese (Nuer),1,4,4,4,4,5,1,4,4,3,4,4,4,2,5,5,4,4,3,5,5,5,4,3,4,5,1,5,4,4,2,3,2,5,4,3,Childish Gambino,The night me and your mama met,0
TRUE,2020-04-27T08:33:02Z,2020-04-27T08:50:59Z,2020-04-27T08:51:00Z,female,36,3,1,Australia,Australian,1,4,3,4,5,2,1,1,1,1,1,4,1,3,4,4,1,5,5,5,5,5,2,1,5,4,1,1,1,3,1,1,2,1,5,4,,,0
TRUE,2020-04-27T09:22:12Z,2020-04-27T09:32:16Z,2020-04-27T09:32:16Z,female,17,5,1,None,White,3,4,4,2,2,3,1,5,2,2,3,2,2,2,3,4,4,2,5,1,4,1,1,1,1,3,1,5,5,4,5,4,4,4,2,4,Kanye West,Stronger,0
TRUE,2020-04-27T09:23:24Z,2020-04-27T09:38:05Z,2020-04-27T09:38:06Z,female,18,5,1,Australia,Asian,3,4,2,1,1,1,3,5,5,5,2,4,4,1,1,4,3,3,2,2,3,1,1,4,1,1,1,5,4,4,2,2,3,4,3,2,,,0
TRUE,2020-04-27T09:31:05Z,2020-04-27T09:41:58Z,2020-04-27T09:41:58Z,male,18,5,1,Australia,Australian,1,5,3,3,3,3,1,5,2,2,2,3,3,3,2,1,4,2,1,4,3,3,5,4,1,5,1,5,1,5,2,1,1,5,2,3,,,0
TRUE,2020-04-27T10:27:09Z,2020-04-27T10:35:20Z,2020-04-27T10:35:21Z,female,18,5,1,Australia,Caucasian,1,5,2,2,2,2,2,4,2,2,2,4,2,4,2,4,3,5,3,3,4,4,5,4,4,6,1,5,4,4,2,2,4,5,2,2,,,0
TRUE,2020-04-27T11:30:36Z,2020-04-27T11:38:29Z,2020-04-27T11:38:30Z,female,18,3,1,Australia,,1,4,3,4,5,3,2,5,5,5,3,3,4,3,4,4,4,3,4,1,1,3,4,4,3,3,1,5,4,4,1,3,2,5,1,1,One More Light,Linkin Park,0
TRUE,2020-04-27T14:34:25Z,2020-04-27T15:04:38Z,2020-04-27T15:04:39Z,female,18,5,1,Australia,,1,4,4,2,NA,4,2,NA,5,4,4,4,4,4,2,5,5,5,4,3,3,4,3,2,5,5,2,5,4,4,1,4,4,5,2,2,Chicago Diner,Kota the Friend,0.041666666666666664
